name,area,carrier,type,parameter,year,value
PL space heating final use flow 2035,PL,space heating final use,inflow,flow,2035,120.3
PL space heating final use flow 2040,PL,space heating final use,inflow,flow,2040,111.8
PL space heating final use flow 2045,PL,space heating final use,inflow,flow,2045,105.2
PL space heating final use flow 2050,PL,space heating final use,inflow,flow,2050,100.4
PL water heating final use flow 2020,PL,water heating final use,inflow,flow,2020,48.9
PL water heating final use flow 2025,PL,water heating final use,inflow,flow,2025,48.9
PL water heating final use flow 2030,PL,water heating final use,inflow,flow,2030,48.9
PL water heating final use flow 2035,PL,water heating final use,inflow,flow,2035,48.9
PL water heating final use flow 2040,PL,water heating final use,inflow,flow,2040,48.9
PL water heating final use flow 2045,PL,water heating final use,inflow,flow,2045,48.9
PL water heating final use flow 2050,PL,water heating final use,inflow,flow,2050,48.9
