name,area,carrier,type,parameter,year,value
PL dolnośląskie light vehicle mobility final use flow 2040,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2040,3.89
PL dolnośląskie light vehicle mobility final use flow 2045,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2045,3.68
PL dolnośląskie light vehicle mobility final use flow 2050,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2050,3.39
PL dolnośląskie space heating final use flow 2020,PL dolnośląskie,space heating final use,inflow,flow,2020,11.7
PL dolnośląskie space heating final use flow 2025,PL dolnośląskie,space heating final use,inflow,flow,2025,10.58
PL dolnośląskie space heating final use flow 2030,PL dolnośląskie,space heating final use,inflow,flow,2030,9.64
PL dolnośląskie space heating final use flow 2035,PL dolnośląskie,space heating final use,inflow,flow,2035,8.87
PL dolnośląskie space heating final use flow 2040,PL dolnośląskie,space heating final use,inflow,flow,2040,8.24
PL dolnośląskie space heating final use flow 2045,PL dolnośląskie,space heating final use,inflow,flow,2045,7.75
PL dolnośląskie space heating final use flow 2050,PL dolnośląskie,space heating final use,inflow,flow,2050,7.4
PL dolnośląskie water heating final use flow 2020,PL dolnośląskie,water heating final use,inflow,flow,2020,3.69
PL dolnośląskie water heating final use flow 2025,PL dolnośląskie,water heating final use,inflow,flow,2025,3.69
PL dolnośląskie water heating final use flow 2030,PL dolnośląskie,water heating final use,inflow,flow,2030,3.69
PL dolnośląskie water heating final use flow 2035,PL dolnośląskie,water heating final use,inflow,flow,2035,3.69
PL dolnośląskie water heating final use flow 2040,PL dolnośląskie,water heating final use,inflow,flow,2040,3.69
PL dolnośląskie water heating final use flow 2045,PL dolnośląskie,water heating final use,inflow,flow,2045,3.69
PL dolnośląskie water heating final use flow 2050,PL dolnośląskie,water heating final use,inflow,flow,2050,3.69
PL kujawsko-pomorskie electricity HMV final use flow 2020,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2020,3.52
PL kujawsko-pomorskie electricity HMV final use flow 2025,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2025,3.18
PL kujawsko-pomorskie electricity HMV final use flow 2030,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2030,3.63
PL kujawsko-pomorskie electricity HMV final use flow 2035,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2035,4.26
PL kujawsko-pomorskie electricity HMV final use flow 2040,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2040,5.0
PL kujawsko-pomorskie electricity HMV final use flow 2045,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2045,5.75
PL kujawsko-pomorskie electricity HMV final use flow 2050,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2050,6.37
PL kujawsko-pomorskie electricity LV final use flow 2020,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2020,3.0
PL kujawsko-pomorskie electricity LV final use flow 2025,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2025,3.13
PL kujawsko-pomorskie electricity LV final use flow 2030,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2030,3.33
PL kujawsko-pomorskie electricity LV final use flow 2035,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2035,3.58
PL kujawsko-pomorskie electricity LV final use flow 2040,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2040,3.79
PL kujawsko-pomorskie electricity LV final use flow 2045,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2045,3.93
PL kujawsko-pomorskie electricity LV final use flow 2050,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2050,3.94
PL kujawsko-pomorskie light vehicle mobility final use flow 2020,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2020,2.17
PL kujawsko-pomorskie light vehicle mobility final use flow 2025,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2025,2.41
PL kujawsko-pomorskie light vehicle mobility final use flow 2030,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2030,2.63
PL kujawsko-pomorskie light vehicle mobility final use flow 2035,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2035,2.67
PL kujawsko-pomorskie light vehicle mobility final use flow 2040,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2040,2.58
PL kujawsko-pomorskie light vehicle mobility final use flow 2045,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2045,2.44
PL kujawsko-pomorskie light vehicle mobility final use flow 2050,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2050,2.25
PL kujawsko-pomorskie space heating final use flow 2020,PL kujawsko-pomorskie,space heating final use,inflow,flow,2020,8.5
PL kujawsko-pomorskie space heating final use flow 2025,PL kujawsko-pomorskie,space heating final use,inflow,flow,2025,7.68
PL kujawsko-pomorskie space heating final use flow 2030,PL kujawsko-pomorskie,space heating final use,inflow,flow,2030,7.0
PL kujawsko-pomorskie space heating final use flow 2035,PL kujawsko-pomorskie,space heating final use,inflow,flow,2035,6.44
PL kujawsko-pomorskie space heating final use flow 2040,PL kujawsko-pomorskie,space heating final use,inflow,flow,2040,5.98
PL kujawsko-pomorskie space heating final use flow 2045,PL kujawsko-pomorskie,space heating final use,inflow,flow,2045,5.63
PL kujawsko-pomorskie space heating final use flow 2050,PL kujawsko-pomorskie,space heating final use,inflow,flow,2050,5.37
PL kujawsko-pomorskie water heating final use flow 2020,PL kujawsko-pomorskie,water heating final use,inflow,flow,2020,2.64
PL kujawsko-pomorskie water heating final use flow 2025,PL kujawsko-pomorskie,water heating final use,inflow,flow,2025,2.64
PL kujawsko-pomorskie water heating final use flow 2030,PL kujawsko-pomorskie,water heating final use,inflow,flow,2030,2.64
PL kujawsko-pomorskie water heating final use flow 2035,PL kujawsko-pomorskie,water heating final use,inflow,flow,2035,2.64
PL kujawsko-pomorskie water heating final use flow 2040,PL kujawsko-pomorskie,water heating final use,inflow,flow,2040,2.64
PL kujawsko-pomorskie water heating final use flow 2045,PL kujawsko-pomorskie,water heating final use,inflow,flow,2045,2.64
PL kujawsko-pomorskie water heating final use flow 2050,PL kujawsko-pomorskie,water heating final use,inflow,flow,2050,2.64
PL lubelskie electricity HMV final use flow 2020,PL lubelskie,electricity HMV final use,inflow,flow,2020,2.61
PL lubelskie electricity HMV final use flow 2025,PL lubelskie,electricity HMV final use,inflow,flow,2025,2.36
PL lubelskie electricity HMV final use flow 2030,PL lubelskie,electricity HMV final use,inflow,flow,2030,2.7
PL lubelskie electricity HMV final use flow 2035,PL lubelskie,electricity HMV final use,inflow,flow,2035,3.16
PL lubelskie electricity HMV final use flow 2040,PL lubelskie,electricity HMV final use,inflow,flow,2040,3.71
PL lubelskie electricity HMV final use flow 2045,PL lubelskie,electricity HMV final use,inflow,flow,2045,4.27
PL lubelskie electricity HMV final use flow 2050,PL lubelskie,electricity HMV final use,inflow,flow,2050,4.73
PL lubelskie electricity LV final use flow 2020,PL lubelskie,electricity LV final use,inflow,flow,2020,2.37
PL lubelskie electricity LV final use flow 2025,PL lubelskie,electricity LV final use,inflow,flow,2025,2.48
PL lubelskie electricity LV final use flow 2030,PL lubelskie,electricity LV final use,inflow,flow,2030,2.63
PL lubelskie electricity LV final use flow 2035,PL lubelskie,electricity LV final use,inflow,flow,2035,2.83
PL lubelskie electricity LV final use flow 2040,PL lubelskie,electricity LV final use,inflow,flow,2040,3.0
PL lubelskie electricity LV final use flow 2045,PL lubelskie,electricity LV final use,inflow,flow,2045,3.11
PL lubelskie electricity LV final use flow 2050,PL lubelskie,electricity LV final use,inflow,flow,2050,3.12
PL lubelskie light vehicle mobility final use flow 2020,PL lubelskie,light vehicle mobility final use,inflow,flow,2020,2.26
PL lubelskie light vehicle mobility final use flow 2025,PL lubelskie,light vehicle mobility final use,inflow,flow,2025,2.52
PL lubelskie light vehicle mobility final use flow 2030,PL lubelskie,light vehicle mobility final use,inflow,flow,2030,2.75
PL lubelskie light vehicle mobility final use flow 2035,PL lubelskie,light vehicle mobility final use,inflow,flow,2035,2.79
PL lubelskie light vehicle mobility final use flow 2040,PL lubelskie,light vehicle mobility final use,inflow,flow,2040,2.7
PL lubelskie light vehicle mobility final use flow 2045,PL lubelskie,light vehicle mobility final use,inflow,flow,2045,2.55
PL lubelskie light vehicle mobility final use flow 2050,PL lubelskie,light vehicle mobility final use,inflow,flow,2050,2.35
PL lubelskie space heating final use flow 2020,PL lubelskie,space heating final use,inflow,flow,2020,9.19
PL lubelskie space heating final use flow 2025,PL lubelskie,space heating final use,inflow,flow,2025,8.31
