name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie battery large storage HMV 2025,PL dolnośląskie,,battery large storage,,HMV,,,2025,,FALSE,75.4,
PL dolnośląskie battery large storage HMV 2030,PL dolnośląskie,,battery large storage,,HMV,,,2030,,FALSE,45.9,
PL dolnośląskie battery large storage HMV 2035,PL dolnośląskie,,battery large storage,,HMV,,,2035,,FALSE,13.1,
PL dolnośląskie battery large storage HMV 2040,PL dolnośląskie,,battery large storage,,HMV,,,2040,,FALSE,8.3,
PL dolnośląskie battery large storage HMV 2045,PL dolnośląskie,,battery large storage,,HMV,,,2045,,FALSE,0.0,
PL dolnośląskie battery large storage HMV 2050,PL dolnośląskie,,battery large storage,,HMV,,,2050,,FALSE,0.0,
PL dolnośląskie battery large storage HMV vRES 2030,PL dolnośląskie,,battery large storage,,HMV vRES,,,2030,,FALSE,1457.1,
PL dolnośląskie battery large storage HMV vRES 2035,PL dolnośląskie,,battery large storage,,HMV vRES,,,2035,,FALSE,108.6,
PL dolnośląskie battery large storage HMV vRES 2040,PL dolnośląskie,,battery large storage,,HMV vRES,,,2040,,FALSE,129.0,
PL dolnośląskie battery large storage HMV vRES 2045,PL dolnośląskie,,battery large storage,,HMV vRES,,,2045,,FALSE,0.0,
PL dolnośląskie battery large storage HMV vRES 2050,PL dolnośląskie,,battery large storage,,HMV vRES,,,2050,,FALSE,0.0,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2020,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2020,2020,TRUE,0.5,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2025,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2025,2025,TRUE,0.5,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2030,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2030,2030,TRUE,0.5,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2035,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2035,2035,TRUE,0.3,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2040,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2040,2040,TRUE,0.2,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2045,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2045,2045,TRUE,0.1,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2020,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2020,,FALSE,14.5,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2025,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2025,,FALSE,2.8,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2030,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2030,,FALSE,1.0,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2035,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2035,,FALSE,0.0,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2040,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2040,,FALSE,0.0,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2045,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2045,,FALSE,0.0,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2050,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2050,,FALSE,0.0,
PL dolnośląskie biogas production industrial 2020,PL dolnośląskie,,biogas production,industrial,,,,2020,2020,TRUE,1.2,
PL dolnośląskie biogas production industrial 2025,PL dolnośląskie,,biogas production,industrial,,,,2025,2025,TRUE,1.4,
PL dolnośląskie biogas production industrial 2030,PL dolnośląskie,,biogas production,industrial,,,,2030,2030,TRUE,1.1,
PL dolnośląskie biogas production industrial 2035,PL dolnośląskie,,biogas production,industrial,,,,2035,2035,TRUE,0.7,
PL dolnośląskie biogas production industrial 2040,PL dolnośląskie,,biogas production,industrial,,,,2040,2040,TRUE,0.3,
PL dolnośląskie biogas production public 2020,PL dolnośląskie,,biogas production,public,,,,2020,,FALSE,35.4,
PL dolnośląskie biogas production public 2025,PL dolnośląskie,,biogas production,public,,,,2025,,FALSE,6.8,
PL dolnośląskie biogas production public 2030,PL dolnośląskie,,biogas production,public,,,,2030,,FALSE,2.3,
PL dolnośląskie biogas production public 2035,PL dolnośląskie,,biogas production,public,,,,2035,,FALSE,0.1,
PL dolnośląskie biogas production public 2040,PL dolnośląskie,,biogas production,public,,,,2040,,FALSE,0.1,
PL dolnośląskie biogas production public 2045,PL dolnośląskie,,biogas production,public,,,,2045,,FALSE,0.0,
